goalkeeper,goal_y,goal_z,outcome,match_date,pressure_context,competition,shooter,shooter_foot
Donnarumma,0.8823141361775573,2.023033020875803,Goal,2023-04-17,normal,Champions League,Shooter 147,Left
Donnarumma,2.336360819846113,2.19094220411502,Goal,2023-02-04,normal,Champions League,Shooter 192,Right
Donnarumma,-1.1155999734060484,2.427865983206651,Goal,2023-12-22,normal,Champions League,Shooter 57,Left
Donnarumma,-0.7309049519658173,1.896900973248967,Goal,2023-11-22,normal,Champions League,Shooter 36,Right
Donnarumma,-1.2334749238480844,2.0253906692550414,Goal,2023-12-30,high,Champions League,Shooter 138,Left
Donnarumma,3.403817187070334,0.058175880232302864,Saved,2023-07-01,normal,Champions League,Shooter 84,Left
Donnarumma,0.08623901485207752,1.2558750863146289,Goal,2023-09-07,normal,Champions League,Shooter 160,Left
Donnarumma,-2.949494249675211,0.7368028540367338,Goal,2023-07-22,normal,Champions League,Shooter 165,Left
Martinez,0.5989142352859653,0.17015972430366222,Goal,2023-03-23,normal,Champions League,Shooter 85,Left
Martinez,-0.7306569663297147,0.22336032859286523,Goal,2023-06-10,normal,Champions League,Shooter 81,Left
Martinez,-0.2554188489713818,0.4828657650219264,Goal,2023-03-02,normal,Champions League,Shooter 98,Left
Martinez,-0.9550473907920938,1.4811272439098215,Saved,2023-07-17,high,Champions League,Shooter 144,Left
Martinez,0.7633405588809925,0.099622975049162,Missed,2023-05-05,normal,Champions League,Shooter 63,Right
Martinez,-0.891881099870093,0.2938914077356328,Goal,2023-02-01,normal,Champions League,Shooter 120,Left
Martinez,-1.6755556051271614,1.10252862812957,Missed,2023-08-01,normal,Champions League,Shooter 26,Right
Martinez,-0.09594253767919492,0.8092059832167886,Goal,2023-03-07,normal,Champions League,Shooter 6,Right
Martinez,-1.0815347945457137,2.1725542208431974,Saved,2023-10-06,high,Champions League,Shooter 8,Left
Martinez,-0.49915138898453393,1.461980445328457,Goal,2023-10-24,high,Champions League,Shooter 42,Left
Martinez,0.3018385487802089,0.3231596556042693,Goal,2023-09-25,normal,Champions League,Shooter 161,Left
Martinez,-0.36257628814866694,0.6520453588837412,Goal,2023-05-09,normal,Champions League,Shooter 198,Left
Martinez,3.475621439628899,0.44963402848320805,Goal,2023-09-03,normal,Champions League,Shooter 119,Right
Martinez,-0.8885599785132119,2.564915704891133,Saved,2023-01-21,normal,Champions League,Shooter 27,Right
Martinez,-1.2518913367876365,0.7324330171371226,Goal,2023-01-25,high,Champions League,Shooter 189,Left
Martinez,-1.0354091354515715,2.4560283450020224,Goal,2023-09-22,normal,Champions League,Shooter 108,Left
Martinez,0.8492185789580868,0.7830415034170088,Goal,2023-08-01,normal,Champions League,Shooter 156,Left
Martinez,-0.691934860069187,0.12635507088728457,Goal,2023-08-06,normal,Champions League,Shooter 58,Right
Martinez,3.3006445593138407,1.607514334093374,Saved,2023-10-06,normal,Champions League,Shooter 33,Left
Martinez,-0.4923138942895061,0.003397249370668958,Goal,2023-09-29,normal,Champions League,Shooter 148,Left
Martinez,-3.7942017080896,0.30293828247334065,Saved,2023-01-01,normal,Champions League,Shooter 143,Right
Martinez,-0.5215025726996747,0.5813148835728419,Goal,2023-01-21,normal,Champions League,Shooter 39,Right
Martinez,1.0609340525594582,0.5791840073272851,Saved,2023-12-21,normal,Champions League,Shooter 187,Right
Martinez,1.9353701224057736,1.229634626481808,Goal,2023-12-20,high,Champions League,Shooter 78,Right
Martinez,-0.20895884939920184,0.024185764320851306,Goal,2023-03-25,normal,Champions League,Shooter 83,Left
Martinez,-1.3785974889941244,1.4429966025556413,Goal,2023-10-02,normal,Champions League,Shooter 121,Left
Martinez,0.5418047000457167,0.4812216442139702,Goal,2023-10-02,high,Champions League,Shooter 64,Right
Martinez,0.2616309082320385,0.2645416488606693,Goal,2023-11-04,high,Champions League,Shooter 196,Right
Martinez,0.4463604573822413,2.307967197395572,Saved,2023-03-09,normal,Champions League,Shooter 183,Left
Martinez,2.0449637235538525,2.482353153463971,Goal,2023-03-03,normal,Champions League,Shooter 48,Left
Martinez,-2.0306994499221522,2.2474633841929426,Goal,2023-12-23,high,Champions League,Shooter 65,Left
Martinez,-0.4869220764756227,0.3867904051642535,Goal,2023-10-28,normal,Champions League,Shooter 26,Left
Martinez,1.1919681316560364,0.39626903993346146,Goal,2023-04-03,normal,Champions League,Shooter 55,Right
Martinez,-0.30719986846479874,0.4340236910729253,Missed,2023-12-14,normal,Champions League,Shooter 162,Right
Martinez,-2.9133850012765157,0.793417213904921,Saved,2023-12-27,high,Champions League,Shooter 6,Left
Martinez,-0.5936739412751266,0.8646640949019351,Goal,2023-10-10,normal,Champions League,Shooter 168,Left
Martinez,-3.4473298155694003,1.3497496393169213,Saved,2023-10-18,high,Champions League,Shooter 190,Left
Martinez,-3.0952420662655333,2.4943012548260333,Goal,2023-02-12,normal,Champions League,Shooter 107,Left
Martinez,-0.5730642773106925,1.6182039351859403,Goal,2023-08-21,normal,Champions League,Shooter 183,Right
Martinez,2.5330940406849676,2.6071897580810712,Saved,2023-02-08,high,Champions League,Shooter 19,Left
Martinez,-0.64325914385149,1.4904009890954324,Goal,2023-03-13,high,Champions League,Shooter 197,Left
Martinez,-2.084082426966643,0.7383329256100728,Goal,2023-06-02,high,Champions League,Shooter 146,Left
Martinez,-3.0146284318983527,0.9977122504318219,Goal,2023-11-20,normal,Champions League,Shooter 76,Left
Martinez,-2.898156879357331,0.5750255957545061,Goal,2023-08-31,normal,Champions League,Shooter 10,Left
Martinez,-1.0221379662346437,0.13734619310194066,Goal,2023-07-29,high,Champions League,Shooter 117,Left
Martinez,0.09035347697705176,0.12650204017617733,Goal,2023-04-03,high,Champions League,Shooter 163,Right
Martinez,-0.26767912927012216,0.8100198267360995,Goal,2023-11-17,normal,Champions League,Shooter 153,Right
Martinez,3.60441610245344,1.2494690991114101,Goal,2023-10-21,high,Champions League,Shooter 122,Left
Martinez,-0.3079226104345656,0.40060979145191966,Goal,2023-07-07,normal,Champions League,Shooter 23,Left
Martinez,1.403212227626996,0.3497470605573092,Goal,2023-03-16,normal,Champions League,Shooter 156,Right
